Bacteria name,Adultfemalehornfly-A,Adultfemalehornfly-B,Adultfemalehornfly-C,Female Avg,Adultmalehornfly-A,Adultmalehornfly-B,Adultmalehornfly-C,Male Avg,Hornflyeggs-A,Hornflyeggs-B,Hornflyeggs-C,Egg Avg
Wolbachia sp,2.266702015,0.711968277,0.085282651,1.021317648,67.10199005,68.77149109,21.40878512,52.42742209,89.68668407,84.2587927,83.79071843,85.91206507
Spirochaeta zuelzerae,0,0,0,0,0,0,0,0,0,0,0.011155734,0.003718578
Castellaniella sp,0.291622481,0,0,0.097207494,0,0,0,0,0,0,0,0
Selenomonas sp,0.119300106,0,3.265107212,1.128135773,0.538971808,0.500156299,0,0.346376035,0,0,0,0
Treponema sp,0,0,0,0,0,0,0,0,0,0.020155195,0,0.006718398
Marinimicrobium sp,0,0,0,0,0,0,0,0,0,0,0.022311468,0.007437156
Streptomonospora sp,0,0,0,0,0,0,0,0,0,0,0.011155734,0.003718578
Macrococcus sp,0,0,0,0,0,0,0,0,0.040168709,0.141086365,0,0.060418358
Astrosporangium sp,0,0,0,0,0.04145937,0,0,0.01381979,0.040168709,0.020155195,0,0.020107968
Pseudonocardia sp,0,0,0,0,0,0,0,0,0.010042177,0,0,0.003347392
Fibrobacter sp,0.066277837,0,0,0.022092612,0,0,7.123070835,2.374356945,0,0,0,0
Aurantimonas sp,0,0,0,0,0,0,0,0,0,0.010077598,0,0.003359199
Rikenella sp,7.078472959,11.67988464,5.628654971,8.129004191,0,0.562675836,7.993668381,2.852114739,0,0.010077598,0.033467202,0.014514933
Thermoactinomyces intermedius,0,0,0,0,0,0,0,0,0,0,0.011155734,0.003718578
Eubacterium angustum,0,0,0,0,0,0,0,0,0,0.020155195,0.089245872,0.036467022
Kineosporia sp,0,0,0,0,0,0,0,0,0,0,0.033467202,0.011155734
Aquiflexum balticum,0,0,0,0,0,0,0,0,0,0.010077598,0,0.003359199
Eubacterium hallii,0,0,0,0,0.062189055,0,0,0.020729685,0.100421771,0.030232793,0.011155734,0.047270099
Brevibacterium avium,0,0,0,0,0,0,0,0,0,0.04031039,0,0.013436797
Anaerofilum sp,0,0,0,0,0,0,0,0,0,0.010077598,0,0.003359199
Acidaminococcus sp,0,0,0,0,0,0,0,0,0,0.010077598,0,0.003359199
Aeromonas sp,0,0,0,0,0,0,0,0,0,0.020155195,0,0.006718398
Staphylococcus hyicus,0,0,0,0,0.331674959,0.062519537,0,0.131398165,0.100421771,0.070543183,0.133868809,0.101611254
Solirubrobacter sp,0,0,0,0,0.020729685,0,0,0.006909895,0,0.010077598,0,0.003359199
Rhodomicrobium sp,0,0,0,0,0,0,0,0,0.010042177,0,0,0.003347392
Roseomonas sp,0,0,0,0,0,0.375117224,0,0.125039075,0,0,0,0
Salinisphaera sp,0,0,0,0,0,0,0,0,0.030126531,0.030232793,0.100401606,0.053586977
Anaerotruncus sp,0,0,0,0,0,0,0.039572616,0.013190872,0,0.020155195,0.022311468,0.014155554
Slackia sp,0,0,0,0,0,0,0,0,0,0.030232793,0.011155734,0.013796176
Carnobacterium sp,0,0,0,0,0,0,0,0,0,0.030232793,0.011155734,0.013796176
Enterococcus sp,0.053022269,0.171232877,29.39814815,9.874134431,6.053067993,4.532666458,1.187178472,3.924304308,2.470375577,3.638012698,2.945113788,3.017834021
